,grande_area,area,codigo
32,Ciências Exatas e da Terra,Processos Markovianos,1.02.01.04-1
33,Ciências Exatas e da Terra,Análise Estocástica,1.02.01.05-0
34,Ciências Exatas e da Terra,Processos Estocásticos Especiais,1.02.01.06-8
35,Ciências Exatas e da Terra,Estatística,1.02.02.00-5
36,Ciências Exatas e da Terra,Fundamentos da Estatística,1.02.02.01-3
37,Ciências Exatas e da Terra,Inferência Paramétrica,1.02.02.02-1
38,Ciências Exatas e da Terra,Inferência Nao-Paramétrica,1.02.02.03-0
39,Ciências Exatas e da Terra,Inferência em Processos Estocásticos,1.02.02.04-8
40,Ciências Exatas e da Terra,Análise Multivariada,1.02.02.05-6
41,Ciências Exatas e da Terra,Regressão e Correlação,1.02.02.06-4
42,Ciências Exatas e da Terra,Planejamento de Experimentos,1.02.02.07-2
43,Ciências Exatas e da Terra,Análise de Dados,1.02.02.08-0
44,Ciências Exatas e da Terra,Probabilidade e Estatística Aplicadas,1.02.03.00-1
45,Ciências Exatas e da Terra,Ciência da Computação,1.03.00.00-7
46,Ciências Exatas e da Terra,Teoria da Computação,1.03.01.00-3
47,Ciências Exatas e da Terra,Computabilidade e Modelos de Computação,1.03.01.01-1
